,ACTIVITY_DATE,DAY_OF_WEEK,ACTIVITY_HOUR,ACTIVITY_NO,CUSTOMER_NUMBER,ACTIVITY_NAME
1959809,2019-09-26,Thu,9,3,0,MB_INTEREST_RATE_VIEW
5424961,2019-09-26,Thu,9,1,0,LOGIN
8159533,2019-09-26,Thu,9,1,0,QUERY_ACCOUNT_INFORMATION
12593509,2019-09-26,Thu,9,1,0,LOGOUT
13269743,2019-09-26,Thu,9,1,0,MB_SET_PIN
13418386,2019-09-26,Thu,9,2,0,AUTHENTICATION
14038547,2019-09-26,Thu,9,1,0,TRANSFER_VIA_SML
1959810,2019-10-03,Thu,12,6,0,MB_INTEREST_RATE_VIEW
5424963,2019-10-03,Thu,12,2,0,LOGIN
8159535,2019-10-03,Thu,12,3,0,QUERY_ACCOUNT_INFORMATION
9550852,2019-10-03,Thu,12,1,0,TRANSACTION_OVERVIEW_QUERY
12593511,2019-10-03,Thu,12,1,0,LOGOUT
5424965,2019-10-11,Fri,9,2,0,LOGIN
8159534,2019-10-11,Fri,9,2,0,QUERY_ACCOUNT_INFORMATION
9550853,2019-10-11,Fri,9,2,0,TRANSACTION_OVERVIEW_QUERY
12593512,2019-10-11,Fri,9,1,0,LOGOUT
5424964,2019-10-12,Sat,10,2,0,LOGIN
12593510,2019-10-12,Sat,10,1,0,LOGOUT
1959811,2019-10-14,Mon,8,2,0,MB_INTEREST_RATE_VIEW
5424962,2019-10-14,Mon,8,2,0,LOGIN
14038548,2019-10-14,Mon,8,1,0,TRANSFER_VIA_SML
12593513,2019-10-14,Mon,9,1,0,LOGOUT
5424967,2019-11-29,Fri,10,2,0,LOGIN
8159536,2019-11-29,Fri,10,3,0,QUERY_ACCOUNT_INFORMATION
9550854,2019-11-29,Fri,10,1,0,TRANSACTION_OVERVIEW_QUERY
12593514,2019-11-29,Fri,10,1,0,LOGOUT
1959812,2019-11-29,Fri,14,4,0,MB_INTEREST_RATE_VIEW
5424969,2019-11-29,Fri,14,2,0,LOGIN
8159538,2019-11-29,Fri,14,4,0,QUERY_ACCOUNT_INFORMATION
9550855,2019-11-29,Fri,14,2,0,TRANSACTION_OVERVIEW_QUERY
12593516,2019-11-29,Fri,15,1,0,LOGOUT
1959813,2019-11-29,Fri,19,6,0,MB_INTEREST_RATE_VIEW
5424966,2019-11-29,Fri,19,2,0,LOGIN
8159537,2019-11-29,Fri,19,3,0,QUERY_ACCOUNT_INFORMATION
12593515,2019-11-29,Fri,19,1,0,LOGOUT
14038549,2019-11-29,Fri,19,2,0,TRANSFER_VIA_SML
5424968,2019-11-30,Sat,15,2,0,LOGIN
12593517,2019-11-30,Sat,15,1,0,LOGOUT
14038550,2019-11-30,Sat,15,1,0,TRANSFER_VIA_SML
5424976,2019-12-01,Sun,13,2,0,LOGIN
12593524,2019-12-01,Sun,13,1,0,LOGOUT
14038554,2019-12-01,Sun,13,1,0,TRANSFER_VIA_SML
5424971,2019-12-02,Mon,10,2,0,LOGIN
12593522,2019-12-02,Mon,10,1,0,LOGOUT
1959815,2019-12-02,Mon,11,3,0,MB_INTEREST_RATE_VIEW
5424970,2019-12-02,Mon,11,2,0,LOGIN
12593519,2019-12-02,Mon,11,1,0,LOGOUT
14038551,2019-12-02,Mon,11,1,0,TRANSFER_VIA_SML
5424972,2019-12-04,Wed,15,2,0,LOGIN
12593521,2019-12-04,Wed,15,1,0,LOGOUT
14038555,2019-12-04,Wed,15,1,0,TRANSFER_VIA_SML
5424973,2019-12-04,Wed,17,2,0,LOGIN
12593523,2019-12-04,Wed,17,1,0,LOGOUT
14038552,2019-12-04,Wed,17,1,0,TRANSFER_VIA_SML
1959816,2019-12-21,Sat,17,2,0,MB_INTEREST_RATE_VIEW
5424974,2019-12-21,Sat,17,2,0,LOGIN
12593518,2019-12-21,Sat,17,1,0,LOGOUT
14038553,2019-12-21,Sat,17,1,0,TRANSFER_VIA_SML
1959814,2019-12-29,Sun,19,2,0,MB_INTEREST_RATE_VIEW
5424975,2019-12-29,Sun,19,2,0,LOGIN
8159539,2019-12-29,Sun,19,1,0,QUERY_ACCOUNT_INFORMATION
12593520,2019-12-29,Sun,19,1,0,LOGOUT
14038556,2019-12-29,Sun,19,1,0,TRANSFER_VIA_SML
